priority,task_id,task_name,recommended_v0_seed,gold_answer,possible_answer_count,shared_fact_count,private_fact_count,avg_private_fact_chars,manual_fact_draft,perturbation_draft,packet_rows,readiness,next_action,private_surface
DONE,3,evacuation_east_town,True,East Town,3,4,4,59.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"The river level is just below the bridge to West City. || The dam upstream will release water in a minute. || The walking trails have been closed since last weekend due to fallen trees. || A mudslide just occurred, covering the driveway to North Hill."
DONE,5,baker_2010,True,Roberts,3,33,4,700.5,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,Stevens' information: - Stevens left the dean position at the Mississippi University befor || Stevens' information: - Comments from faculty in Florida and Mississippi indicate thatStev || Stevens' information: - Left the dean position at the Mississippi University before raisin || Stevens' information: - Comments from faculty in Florida and Mississippi indicate thatStev
DONE,10,emergency_supply_drop,True,Warehouse C,3,3,4,167.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"The bridge near Warehouse A has completely collapsed in the flooding, making it impossible || Helicopter pilots report seeing standing water and large debris still blocking the main ap || Although Warehouse C is farthest from the airstrip, elevated service roads leading to the  || Warehouse B has had minor chemical leaks in the past, and after the flood, sensors are det"
DONE,11,emergency_conference_relocation,True,School Gym,3,4,4,156.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,Library staff admit privately that their backup generator only has enough fuel for 2 hours || The School Gym's restrooms are being restored right now. The on-site janitor confirms that || The Community Center basement has had a chemical leak that was just discovered today; the  || The main conference hall at College Hall flooded this morning and is closed for at least a
DONE,12,evacuate_park_dilemma,True,Green Valley,3,4,4,152.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Green Valley pest outbreak closure only applies to tourists; local officials have confirme || An emergency text alert just announced that a sinkhole appeared across the only road to Re || All power at Blueberry Ridge went out midday, including backups. Emergency medical equipme || The bridge over Pine Creek, a key access point to Blueberry Ridge, collapsed in today's st"
DONE,21,emergency_transportation_decision,True,Celestia Airstrip,3,3,4,133.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Local authorities just suspended all trains to Aurora after a landslide covered the main t || A wildlife alert just closed the main access road to Aurora for emergency protection. No v || The bus route to Borealis has been rerouted due to a bridge closure, with all arrivals del || Celestia Airstrip completed emergency upgrades this week: it’s now able to service large g"
DONE,27,research_station_site_selection,True,Pine Ridge,3,3,4,176.0,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,The only reliable access road to Pine Ridge has been repaired and upgraded recently for fo || Copper Lake's soil cannot support buildings taller than 1 story or heavy equipment without || The geological survey revealed that Maple Valley sits directly atop a recently discovered  || A newly released government study says that the local community near Maple Valley is organ
DONE,31,weather_sensor_deployment,True,Gamma Lake,3,3,4,195.5,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,A radio transmission indicates the bridge to Beta Valley has just collapsed due to floodwa || A recent geologist’s note (found on a desk) says Alpha Ridge’s summit is unstable after la || An old cache of equipment logs reveals a small boat is moored at the southern shore of Gam || An urgent message states that sudden gale-force winds will hit Alpha Ridge in the next few
DONE,44,Choosing the Safe Offsite Venue,True,Hilltop Retreat,3,4,4,168.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,The city power company advises that the Downtown Hotel's generator needs immediate refueli || The main bridge to Riverside Conference Center has just been shut for emergency repairs du || An urgent news report says that flooding has started at key subway stations serving Downto || The alternate highway to Hilltop Retreat is partially blocked by fallen trees: only the ma
DONE,51,emergency_supply_distribution,True,Charlie Storage,3,4,4,147.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Bravo Storage's power is still out, but it only contains canned/dry goods (which are not u || The temperature at Alpha Storage rose above safe refrigeration levels overnight; most peri || The road to Charlie Storage is passable after a city technician manually raised the crossi || Alpha Storage's backup generator failed during the last refueling attempt and cannot be re"
DONE,54,island_research_base_choice,True,Site C,3,4,4,144.2,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"Significant flooding and water contamination have been detected at Site B; heavy equipment || The radio blackout at Site C is being caused by damaged antennas, not by terrain or long-t || A gas leak and flammable vapor have been detected near Site A that could create a serious  || Unusual ground instability measurements have been found at Site A, suggesting a risk of si"
DONE,56,Secure the Masterpiece,True,The Government Records Vault,3,5,4,140.8,True,True,3,packetized_shortlist_seed,keep as current HSA packet coverage,"The main generator for the University Science Building is scheduled for maintenance today; || A protest is occurring on the street that provides access to the Government Records Vault, || A wind change is forecast shortly, which will direct the chemical leak directly toward the || A security alert just went out: lab technicians in the science building are all being evac"
OUT,7,graetz_et_al_1998,False,Starlight Incorporated,3,13,4,144.0,False,False,0,extracted_not_recommended,archive as extracted background,Franklin Enterprises: - (b) N - (c) N Starlight Incorporated: - (b) Y - (d) Y Cape Industr || Franklin Enterprises: - (a) N - (c) N Starlight Incorporated: - (e) Y - (h) Y Cape Industr || Franklin Enterprises: - (a) N - (c) N Starlight Incorporated: - (f) Y - (i) Y Cape Industr || Franklin Enterprises: - (a) N - (b) N Starlight Incorporated: - (g) Y - (j) Y Cape Industr
OUT,14,lunch_group_decision,False,Restaurant C,3,3,4,137.0,False,False,0,extracted_not_recommended,archive as extracted background,"The local health department issued a warning this morning about a norovirus outbreak among || Restaurant B accidentally cross-contaminated their kitchen with shellfish last night, so t || A private event has booked most of Restaurant C today, but the secondary dining room is st || There is a known power outage at Restaurant C, affecting only the main kitchen, but their "
OUT,15,artifact_safe_haven,False,Downtown Police Station,3,3,4,154.5,False,False,0,extracted_not_recommended,archive as extracted background,A government memo sent to police leadership confirms that a secure evidence room—separate  || The University Library's 24/7 security detail will be off-site for a mandatory citywide tr || The road to the University Library is blocked by downed trees from the storm and will not  || Power company officials confirm that the City Bank's backup generator is due for repairs a
OUT,17,scientists_animal_base_decision,False,Plateau Camp (D),4,4,4,152.2,False,False,0,extracted_not_recommended,archive as extracted background,Last week's rain caused mudslides that blocked the only road leading to Hilltop Overlook ( || Local herders reported that the Deep Jungle Site (A) has become impassable due to recent f || Plateau Camp (Site D) is the only area where the wind patterns don't carry biting insects  || Park rangers set up camera traps last month and recorded nocturnal predators frequenting t
OUT,18,choosing_base_camp,False,Camp Pinecone,3,4,4,137.5,False,False,0,extracted_not_recommended,archive as extracted background,"Wind speed projections for Camp Meadow have been revised upwards—tents there may not withs || Delivery of additional food supplies for the expedition is delayed; only Camp Pinecone cur || The glacier overlooking Camp Summit was reported by the last survey team to have developed || Bears in the region have moved further upriver for the season, and no recent sightings hav"
OUT,22,Antarctic Storm Safe Haven,False,Main Base,3,4,4,136.0,False,False,0,extracted_not_recommended,archive as extracted background,"The most recent supply delivery to Retreat Camp was delayed, so the promised food and wate || Main Base appears to have uninterrupted generator power, working communications, and fully || The snow route to Rescue Outpost is fully snowed in since the last storm; the path isn't n || Satellite imagery from this morning shows the ice bridge leading to Retreat Camp has colla"
OUT,23,community_banquet_venue_decision,False,Grand Oak Hotel,3,4,4,186.0,False,False,0,extracted_not_recommended,archive as extracted background,"The only access road to Lakeview Resort is closed due to flooding after this week’s storm  || Grand Oak Hotel’s event calendar shows 'unavailable' online, but the events manager report || Public notices state that Heritage Library recently reinforced its no-outside-food policy  || Local authorities have warned that lakeside events could attract mosquitoes in this season"
OUT,26,manuscript_flood_shelter,False,Town Hall,3,3,4,189.0,False,False,0,extracted_not_recommended,archive as extracted background,"Paramedics reported that lightning knocked down a major power line, blocking road access t || Town Hall’s armory—a potential chemical spill risk—has been completely cleared out for rec || Structural engineers just discovered a design flaw in the University Science Library: heav || Floodwaters have already begun entering the museum through the cellar, with water expected"
OUT,30,the_lead_investor_decision,False,Skylake Ventures,3,3,3,161.0,False,False,0,extracted_not_recommended,archive as extracted background,Peak Capital is being investigated for regulatory issues; their deal execution is currentl || Skylake Ventures just finalized a co-investor partnership with a well-known angel group ye || Northstar Partners internally reduced their investment committee meeting schedule to once 
OUT,32,critical_vaccine_route,False,Route C (Old Supply Road),3,4,4,156.2,False,False,0,extracted_not_recommended,archive as extracted background,"Route B is under a sudden quarantine order after a suspected case of viral hemorrhagic fev || The main bridge on Route C was inspected in detail after the last snowstorm and certified  || A specialized snow rescue unit is only available for Route C tonight; for the other routes || An avalanche monitoring post flagged a fresh crack in the mountain, and geologists estimat"
OUT,33,Critical Sample Transfer,False,Lab Nova,3,3,3,183.3,False,False,0,extracted_not_recommended,archive as extracted background,"The main highway to Gemini is temporarily closed for repairs; only emergency vehicles are  || Lab Atlas is currently undergoing scheduled maintenance on its freezers, leaving only one  || A city-wide power outage hit Nova two days ago, but the facility's newly installed generat"
OUT,38,storm_recovery_clinic_site_selection,False,Site C (Hilltop park),4,4,4,140.8,False,False,0,extracted_not_recommended,archive as extracted background,"The only bridge that ambulances can use to access Site D was damaged in the storm—emergenc || Despite power at Site B, mold was rapidly found in the lower level and several people got  || Structural engineers have identified new cracks in a load-bearing wall of Site B; they say || The river upstream from Site A is still rising rapidly, and flood warnings for that field "
OUT,41,Space Evacuation Decision,False,Mars Colony,3,4,4,139.8,False,False,0,extracted_not_recommended,archive as extracted background,"An engineering message says the docking clamps on Orion Station's shuttle are jammed and w || A message from Mars Colony says their landing pads have just been cleared for arrivals, an || A critical oxygen recycling unit at Orion Station failed this morning; the real oxygen sup || Recent seismic activity at Lunar Base damaged their airlocks, and they've been unable to c"
OUT,46,emergency_evacuation_center_choice,False,Riverside School Gym,3,5,4,134.0,False,False,0,extracted_not_recommended,archive as extracted background,A water main break means that the Hillside Community Center currently has no potable water || Tests of local air quality show that the air inside the Downtown Library Hall has high lev || Fire department reports confirm that the Riverside School Gym is fully dry and the latest  || The road leading to Hillside Community Center is blocked due to a large fallen tree; there
OUT,47,Find the Missing Prototype,False,CEO's Office,3,4,4,167.8,False,False,0,extracted_not_recommended,archive as extracted background,"Reviewing badge swipe logs, you see none of the team members entered the storage room duri || According to cleaning staff schedules, the CEO's office is the only room that was not ente || During a maintenance inspection this morning, the building supervisor noted that the stora || The conference room was under renovation overnight and was locked from the inside with the"
OUT,50,secure_meeting_room_decision,False,Conference Room Gamma,3,3,3,162.0,False,False,0,extracted_not_recommended,archive as extracted background,A security audit report (just released) confirms that Conference Room Gamma’s new locks ha || The building’s fire alarm system is being tested in the zone containing Conference Room Be || An urgent email from facilities says the Wi-Fi in Conference Room Alpha is unreliable toda
OUT,52,mountain_storm_shelter,False,Green Valley Outpost,3,4,4,157.5,False,False,0,extracted_not_recommended,archive as extracted background,"A sign near the Blue Lake trailhead warns that an upstream dam release is set for tonight, || A new weather alert (missed in earlier updates) says the storm will hit Red Cliff Lodge di || A hiker coming from Blue Lake reports the bridge washed out in the last hour and is now im || Green Valley Outpost, though lacking supplies, is built partially underground and is rated"
OUT,55,emergency_drone_delivery,False,Hospital,3,4,4,193.5,False,False,0,extracted_not_recommended,archive as extracted background,"The school’s helipad is within 100 meters of a student sports event happening this afterno || Construction equipment in the hospital lot currently blocks the main vehicle entrance, but || Due to a malfunction, the park’s main floodlights cannot be turned on and the drone cannot || Local authorities just issued an airspace closure over the Park due to a nearby unauthoriz"
OUT,58,secure_negotiation_site_selection,False,The Old Museum Basement,3,3,4,173.2,False,False,0,extracted_not_recommended,archive as extracted background,"The Old Museum Basement, while rarely used, contains a sealed tunnel known only to a few s || All official phones and internet connections in City Hall Annex are currently jammed, with || A reliable military source has reported that infiltration attempts have compromised trust  || The river by the Conference Center has been mined as a countermeasure, but this also makes"
OUT,59,last_minute_move,False,Bravo Moving Co.,3,4,4,155.2,False,False,0,extracted_not_recommended,archive as extracted background,"Charlie’s Transport currently has half their staff deployed at another out-of-town job unt || A road accident has blocked Alpha Movers' usual approach route into downtown, likely causi || Bravo Moving Co. recently lost a review after damaging a grand piano (expensive item) duri || Alpha Movers’ entire team has already phoned in that they are stuck in traffic and cannot "
